trip_month,trip_day,trip_day_of_week,trip_hour,trip_duration,trip_distance,payment_type,pickup_zone,dropoff_zone,tip_bin
7,22,1,23,1795,20.4,1,132,52,1
7,25,4,0,1958,20.1,1,132,106,1
7,20,6,14,2411,10.7,1,132,265,1
7,29,1,2,3,0,1,249,249,0
7,17,3,7,0,18,1,132,229,0
7,25,4,15,2908,25.27,2,132,265,0
7,13,6,18,4221,34.4,2,216,1,0
7,4,4,13,3101,34.82,1,132,1,0
7,3,3,10,7,0,1,264,265,0
7,22,1,5,2301,30,1,161,265,0
7,24,3,20,32,0.3,1,265,265,1
7,26,5,11,2686,9.2,1,138,161,0
7,16,2,14,2242,10.92,1,239,138,0
7,8,1,20,1533,11.9,1,138,220,0
7,7,7,12,1710,10.57,1,100,220,0
7,27,6,15,3898,7.25,1,12,230,0
7,9,2,20,2089,11,1,87,166,0
7,25,4,6,1772,12.55,1,231,138,0
7,4,4,23,2993,8.04,1,114,41,0
7,17,3,17,2648,9.09,1,138,246,1
7,2,2,16,2383,11.47,1,142,138,1
7,18,4,17,2484,10.31,1,113,223,1
7,18,4,16,2830,10.02,1,138,244,1
7,26,5,18,2478,9.8,1,138,68,1
7,13,6,15,3056,8.38,1,138,68,1
7,20,6,18,2751,9.22,1,138,113,1
7,26,5,19,2776,10.02,1,142,200,0
7,31,3,14,1620,12.1,1,138,254,0
7,4,4,19,2090,10.7,1,138,137,0
7,9,2,15,2113,11.26,1,138,162,0
7,18,4,15,3114,9.2,1,138,244,0
7,10,3,19,2181,10.1,1,138,246,1
7,24,3,16,2235,10.8,1,138,161,1
7,6,6,16,1570,12.7,1,138,148,1
7,19,5,16,2742,10.5,1,162,138,1
7,24,3,19,2086,11.4,1,239,257,1
7,31,3,16,2410,11.1,1,138,127,1
7,10,3,15,2251,10.7,1,138,163,1
7,26,5,17,2513,11.1,1,263,181,1
7,3,3,17,2123,11,1,143,138,1
7,20,6,16,2782,10.4,1,138,161,1
7,10,3,17,2521,10.2,1,68,138,1
7,15,1,13,1562,12.75,2,138,25,0
7,17,3,12,1885,11.95,1,232,243,0
7,17,3,15,3723,5.1,2,234,262,0
7,7,7,12,1662,12.28,1,138,225,0
7,12,5,14,2558,9.5,2,263,97,0
7,24,3,11,3049,8,2,209,238,0
7,15,1,6,1260,12.49,2,132,171,0
7,22,1,14,2005,11.8,2,132,9,0
7,28,7,15,2009,11.45,2,138,132,0
7,22,1,19,1736,11.99,1,51,152,0
7,29,1,14,2017,12.1,2,138,132,0
7,4,4,12,2062,10.54,1,88,87,0
7,31,3,12,2568,9.86,2,138,49,0
7,26,5,12,2644,9.24,2,138,161,0
7,27,6,14,3246,7,2,261,80,0
7,31,3,9,1897,11.03,2,132,71,0
7,31,3,15,2534,9.7,1,151,256,0
7,1,1,15,1800,11.69,2,87,138,0
7,12,5,14,3135,7.53,1,209,35,0
7,13,6,13,1906,11.5,1,82,16,0
7,7,7,14,1690,12.74,2,138,132,0
7,18,4,10,2839,7.74,1,186,74,0
7,11,4,15,3333,6,1,264,264,0
7,2,2,12,1446,12.63,2,132,70,0
7,24,3,11,2819,8.2,2,234,33,0
7,19,5,12,1418,12.7,2,132,155,0
7,19,5,12,2935,8.4,1,13,170,0
7,22,1,15,2209,11.64,2,132,83,0
7,6,6,12,1967,11.39,2,132,72,0
7,24,3,15,2762,8.86,2,236,17,0
7,9,2,6,1978,11.3,2,132,61,0
7,25,4,6,2118,11.49,2,132,188,0
7,30,2,15,2714,10.1,2,140,181,0
7,13,6,14,2068,10.7,2,132,92,0
7,3,3,11,2634,8.8,2,113,42,0
7,4,4,11,2877,9.8,2,100,61,0
7,14,7,15,2765,9.3,2,100,181,0
7,31,3,13,2259,10.9,2,132,17,0
7,1,1,16,1871,12.1,1,213,164,0
7,31,3,9,2389,9.2,2,161,138,0
7,31,3,12,1503,12.5,2,230,31,0
7,15,1,17,2230,10.6,2,138,211,0
7,29,1,8,1573,12.04,2,138,37,0
7,19,5,12,3158,7.53,2,140,49,0
7,26,5,12,3370,6.64,1,230,255,0
7,7,7,18,1927,10,2,48,127,0
7,28,7,13,2975,7.99,2,230,129,0
7,1,1,11,2153,11.03,2,100,223,0
7,14,7,15,3132,7.81,2,186,225,0
7,11,4,6,1688,11.9,1,224,136,0
7,6,6,12,2484,8.7,2,138,230,0
7,30,2,14,2960,6.63,2,233,261,0
7,3,3,14,1600,12.6,1,132,16,0
7,14,7,7,2188,10.63,2,100,35,0
7,10,3,6,1864,11.45,2,132,91,0
7,16,2,15,3035,8.73,1,229,61,0
7,23,2,6,2369,10.89,2,132,17,0
7,4,4,8,1227,12.94,2,138,65,0
7,15,1,16,1963,11.1,2,158,127,0
7,27,6,15,3397,7.13,2,230,247,0
7,28,7,10,2368,11.4,1,138,4,0
7,28,7,14,2275,11.93,2,138,216,0
7,28,7,10,1368,12.67,2,45,138,0
7,24,3,6,2273,11.79,2,132,157,0
7,16,2,15,2099,11.64,2,132,171,0
7,7,7,13,3196,11.2,2,13,225,0
7,9,2,7,2371,9.5,2,163,138,0
7,24,3,9,3608,4.93,2,223,230,0
7,3,3,10,2522,10.5,2,170,18,0
7,3,3,15,2292,10.34,2,132,146,0
7,13,6,13,3476,5.68,2,209,50,0
7,27,6,15,3566,4.6,1,65,186,0
7,28,7,16,1915,12.42,2,132,138,0
7,4,4,14,1947,12.02,2,132,83,0
